#objectKey messif.objects.keys.AbstractObjectKey karate-kata-user-4-3
450; mcdr.objects.ObjectMocapPose
0.3546693, 0.007626204, 2.141812; 0.3449044, 0.3409014, 2.131134; 0.3332881, 0.6605438, 2.107306; 0.2817328, 0.8195394, 2.110482; 0.1638663, 0.5271784, 2.186888; 0.1017491, 0.3061169, 2.186549; 0.03295063, 0.4361475, 2.042207; 0.03655764, 0.5131474, 1.992526; 0.5000866, 0.5477378, 2.047496; 0.5503153, 0.3137195, 1.963421; 0.3932469, 0.4476584, 1.890553; 0.3309747, 0.4976886, 1.885467; 0.2710605, 0.002886086, 2.131696; 0.1985984, -0.4264429, 2.151712; 0.1330375, -0.8021964, 2.208026; 0.06933594, -0.8842773, 2.109375; 0.4254093, 0.01209167, 2.07387; 0.5356609, -0.3823649, 2.060619; 0.6290545, -0.8216932, 2.08725; 0.6396484, -0.8955078, 1.988281; 0.3365244, 0.5825132, 2.11554; 0.03121817, 0.5474831, 1.953337; 0.08582618, 0.5432205, 1.995222; 0.2889041, 0.5284271, 1.897116; 0.3445929, 0.5272659, 1.883235
0.3545614, 0.007528184, 2.141856; 0.34487, 0.3408997, 2.131126; 0.3332645, 0.6606219, 2.107215; 0.2817908, 0.819644, 2.110542; 0.1636217, 0.5271823, 2.18653; 0.1015931, 0.3064966, 2.186553; 0.0337136, 0.4371334, 2.042664; 0.03778752, 0.5195922, 1.994534; 0.4999696, 0.5477402, 2.047426; 0.5499342, 0.3144239, 1.963175; 0.3931338, 0.4473933, 1.890482; 0.3268803, 0.4983388, 1.886654; 0.2709288, 0.002779067, 2.131766; 0.1986547, -0.4263476, 2.15161; 0.1329452, -0.8027272, 2.207819; 0.07016119, -0.884071, 2.111438; 0.4253221, 0.01200311, 2.073883; 0.535922, -0.3831438, 2.060367; 0.6289403, -0.8211659, 2.08679; 0.6397155, -0.8954408, 1.987342; 0.3364973, 0.582562, 2.11548; 0.03357273, 0.555539, 1.960335; 0.08911102, 0.5496696, 2.005429; 0.2872589, 0.5300682, 1.898688; 0.3315421, 0.5384771, 1.885625
0.3545082, 0.007496824, 2.141774; 0.344867, 0.3409095, 2.131114; 0.33329, 0.6606688, 2.107223; 0.281779, 0.8197039, 2.110607; 0.1634193, 0.5271427, 2.186233; 0.07783212, 0.2749372, 2.175121; 0.04188633, 0.4524732, 2.041561; 0.03811158, 0.5210137, 1.997388; 0.49985, 0.5477139, 2.047324; 0.5457311, 0.3034794, 1.950601; 0.3933049, 0.4466185, 1.890372; 0.325606, 0.4964198, 1.890168; 0.2708901, 0.002759504, 2.131757; 0.1986672, -0.426343, 2.151545; 0.1323165, -0.8042321, 2.207852; 0.07008345, -0.884205, 2.111552; 0.4252532, 0.01195583, 2.073644; 0.5360658, -0.3837729, 2.060172; 0.6289438, -0.82119, 2.086803; 0.6396182, -0.8952196, 1.987702; 0.3365119, 0.5825939, 2.115482; 0.03852309, 0.5610014, 1.961978; 0.08917324, 0.5521422, 2.0138; 0.2834424, 0.5310345, 1.901016; 0.35063, 0.4642521, 1.9714
0.3543876, 0.007475132, 2.141851; 0.3448295, 0.3409881, 2.131202; 0.3333532, 0.6609733, 2.107401; 0.2818535, 0.8198397, 2.110823; 0.1631919, 0.5276461, 2.18653; 0.07811066, 0.2697654, 2.181157; 0.04189299, 0.4526281, 2.04171; 0.0386354, 0.5213133, 2.002363; 0.4997967, 0.5477453, 2.047304; 0.5463052, 0.29886, 1.949641; 0.393227, 0.4456387, 1.890685; 0.3245659, 0.4937145, 1.89401; 0.2707783, 0.002783187, 2.131848; 0.1986902, -0.4263468, 2.151557; 0.1322848, -0.8043547, 2.207866; 0.07114661, -0.8835731, 2.113663; 0.4251097, 0.01188239, 2.073703; 0.5360314, -0.3838195, 2.060119; 0.6289793, -0.8211624, 2.086823; 0.6397635, -0.895348, 1.987888; 0.3365391, 0.5828258, 2.11563; 0.03694857, 0.5615524, 1.966844; 0.08125189, 0.5361266, 2.011056; 0.283082, 0.5300127, 1.902225; 0.3564228, 0.470632, 1.977
0.354317, 0.007614636, 2.141783; 0.3448113, 0.3411426, 2.131225; 0.3333941, 0.6611959, 2.107542; 0.2818072, 0.8200896, 2.111159; 0.16335, 0.5286849, 2.187609; 0.08107761, 0.2629877, 2.187666; 0.04195289, 0.4524372, 2.042201; 0.0373067, 0.5197086, 2.003458; 0.4996973, 0.5477232, 2.047251; 0.5510492, 0.2912677, 1.95021; 0.3925618, 0.4448589, 1.89145; 0.3227854, 0.4911928, 1.896322; 0.270734, 0.00308222, 2.131813; 0.1987223, -0.4264603, 2.151571; 0.1319638, -0.805215, 2.207621; 0.07124226, -0.8837072, 2.11376; 0.4250028, 0.01192941, 2.073583; 0.5362611, -0.3847701, 2.059918; 0.628984, -0.8211655, 2.086942; 0.6397433, -0.8953534, 1.987835; 0.3365631, 0.58303, 2.115735; 0.0358236, 0.5600634, 1.972498; 0.07971481, 0.5331231, 2.004077; 0.2794943, 0.5264576, 1.904794; 0.3555665, 0.4693477, 1.975146
0.3542002, 0.007550981, 2.141784; 0.3447608, 0.3411725, 2.131247; 0.3333549, 0.6613423, 2.107592; 0.2818322, 0.8201897, 2.111475; 0.163385, 0.5294865, 2.188042; 0.08523504, 0.2561398, 2.195893; 0.04213326, 0.4518559, 2.043293; 0.03751813, 0.517391, 2.004349; 0.4979942, 0.5476418, 2.046576; 0.5560426, 0.2844761, 1.952544; 0.3922911, 0.4440454, 1.891731; 0.3221147, 0.4874578, 1.898505; 0.2706938, 0.003092769, 2.13184; 0.198777, -0.4264487, 2.15168; 0.1318397, -0.8060859, 2.207943; 0.07093487, -0.8839338, 2.113272; 0.4247358, 0.01168481, 2.073503; 0.5362571, -0.3849747, 2.059843; 0.6289691, -0.8210905, 2.086961; 0.6398493, -0.895252, 1.988097; 0.3365204, 0.5831387, 2.115775; 0.03545273, 0.5572799, 1.973121; 0.08328786, 0.540278, 2.003537; 0.2762431, 0.5232059, 1.904649; 0.3490135, 0.4607728, 1.979354
0.3539177, 0.007400228, 2.141821; 0.3446754, 0.3411934, 2.131307; 0.3333375, 0.6614914, 2.107703; 0.2816973, 0.820565, 2.112077; 0.1634337, 0.5315412, 2.18954; 0.09000891, 0.2486115, 2.20481; 0.04271877, 0.4491228, 2.04639; 0.03727894, 0.5140454, 2.006221; 0.4979863, 0.5476617, 2.046587; 0.5591519, 0.280911, 1.954104; 0.3916641, 0.4432258, 1.892149; 0.3215815, 0.4862477, 1.899508; 0.2704943, 0.003113133, 2.131986; 0.1988999, -0.426356, 2.151817; 0.1318277, -0.8060897, 2.207951; 0.07092219, -0.8839476, 2.113194; 0.4242645, 0.01122027, 2.07335; 0.5363219, -0.3851909, 2.059771; 0.6288885, -0.8206888, 2.086817; 0.6407517, -0.8955522, 1.985288; 0.3364853, 0.5832451, 2.115866; 0.03325493, 0.5518278, 1.972685; 0.08373459, 0.5404433, 2.005479; 0.2776454, 0.5229863, 1.903748; 0.3468977, 0.4609606, 1.980358
0.3536701, 0.007238422, 2.141741; 0.3445777, 0.3411733, 2.131311; 0.3333089, 0.6615182, 2.107732; 0.2814685, 0.8208091, 2.112558; 0.1634314, 0.5316104, 2.189602; 0.093045, 0.2442727, 2.212245; 0.0429179, 0.4470256, 2.048272; 0.034987, 0.5107563, 2.006666; 0.497936, 0.5477002, 2.046534; 0.5627909, 0.2766399, 1.955809; 0.3913164, 0.4425338, 1.892598; 0.3218641, 0.4842929, 1.901269; 0.2703297, 0.003035339, 2.131961; 0.1989557, -0.4262892, 2.151823; 0.1317419, -0.8065454, 2.207528; 0.07084433, -0.8840932, 2.113075; 0.4239645, 0.01098656, 2.073204; 0.5362107, -0.385154, 2.059569; 0.6288942, -0.8206704, 2.086833; 0.6406007, -0.8953363, 1.985292; 0.3364488, 0.5832644, 2.115891; 0.03170357, 0.5483288, 1.973951; 0.08309002, 0.537756, 2.016167; 0.2765802, 0.5212283, 1.903631; 0.3384569, 0.4528492, 1.983636
0.3535625, 0.007206918, 2.141822; 0.3445122, 0.3412033, 2.131387; 0.3332786, 0.6616084, 2.107818; 0.2811989, 0.8210104, 2.113126; 0.1634382, 0.5322306, 2.190306; 0.09662051, 0.2409301, 2.218688; 0.04282733, 0.4448214, 2.050474; 0.03413026, 0.5077226, 2.009345; 0.4978453, 0.5477821, 2.046495; 0.5657018, 0.2737386, 1.957285; 0.4000133, 0.4232973, 1.897916; 0.323825, 0.4837203, 1.907585; 0.270234, 0.003071689, 2.132152; 0.1994644, -0.4253048, 2.152117; 0.1316894, -0.8064188, 2.207946; 0.0708141, -0.8839927, 2.113198; 0.42381, 0.01088955, 2.073208; 0.5361755, -0.3851186, 2.059615; 0.6289549, -0.8206916, 2.086854; 0.640413, -0.8945043, 1.987036; 0.3364101, 0.58334, 2.115974; 0.0318794, 0.54654, 1.980268; 0.07726589, 0.5276139, 2.007083; 0.2746955, 0.520584, 1.904667; 0.3387246, 0.4491307, 1.984429
0.3530877, 0.007282048, 2.142097; 0.3442953, 0.3412987, 2.131549; 0.3332311, 0.6616938, 2.107898; 0.2809041, 0.8212266, 2.113353; 0.1633627, 0.532544, 2.190785; 0.09890977, 0.2384699, 2.223705; 0.04275792, 0.4424199, 2.052596; 0.03322701, 0.5051646, 2.010189; 0.4974776, 0.5477165, 2.046337; 0.5701402, 0.2699301, 1.959619; 0.4017482, 0.4195047, 1.898074; 0.3246814, 0.4827134, 1.908963; 0.2698479, 0.003072908, 2.132578; 0.1997467, -0.4251234, 2.152473; 0.1316676, -0.8067716, 2.207957; 0.0707219, -0.8840654, 2.113315; 0.423243, 0.01106575, 2.073354; 0.5361249, -0.3850025, 2.059677; 0.629002, -0.8209236, 2.087042; 0.6401917, -0.8946524, 1.98745; 0.3363318, 0.5834315, 2.116072; 0.03013682, 0.5426267, 1.978816; 0.07802964, 0.5282208, 2.01088; 0.273665, 0.5198714, 1.904823; 0.3984618, 0.5034937, 1.968917
